paper_id,paper_title,abstract,type,pubmed_id
11,"Informing the design of a multisensory learning environment for elementary mathematics learning","It is well known that primary school children may face difficulties in acquiring mathematical competence, possibly because teaching is generally based on formal lessons with little opportunity to exploit more multisensory-based activities within the classroom. To overcome such difficulties, we report here the exemplary design of a novel multisensory learning environment for teaching mathematical concepts based on meaningful inputs from elementary school teachers. First, we developed and administered a questionnaire to 101 teachers asking them to rate based on their experience the learning difficulty for specific arithmetical and geometrical concepts encountered by elementary school children. Additionally, the questionnaire investigated the feasibility to use multisensory information to teach mathematical concepts. Results show that challenging concepts differ depending on children school level, thus providing a guidance to improve teaching strategies and the design of new and emerging learning technologies accordingly. Second, we obtained specific and practical design inputs with workshops involving elementary school teachers and children. Altogether, these findings are used to inform the design of emerging multimodal technological applications, that take advantage not only of vision but also of other sensory modalities. In the present work, we describe in detail one exemplary multisensory environment design based on the questionnaire results and design ideas from the workshops: the Space Shapes game, which exploits visual and haptic/proprioceptive sensory information to support mental rotation, 2D3D transformation and percentages. Corroborating research evidence in neuroscience and pedagogy, our work presents a functional approach to develop novel multimodal user interfaces to improve education in the classroom.",NULL,NULL
12,"A Qualitative Evaluation of the Effects of Social Cognition and Interaction Training (SCIT) Versus Therapeutic Alliance Focused Therapy (TAFT) Among Persons With Serious Mental Illness","Growing appreciation of the impact of social cognition deficits on social functioning among people with serious mental illness (SMI) has led to the development of interventions that target them. The purpose of the present study was to conduct a qualitative analysis of the effectiveness of two group interventions, social cognition and interaction therapy (SCIT) and therapeutic alliance focused therapy (TAFT), and to explore the processes and factors that contribute to the SCIT and TAFT outcomes. Thirty-two participants (16 participants from each group) were interviewed after completing the interventions. Content analysis based on grounded theory was conducted by two psychologists. The majority of participants experienced the intervention they completed as beneficial. The completers attributed the positive changes to several factors including professional information, therapeutic alliance, and their own agency. Comparison of the two groups revealed that SCIT completers were more likely to report changes in their experience of self and in their daily coping, while TAFT completers were more likely to report changes in the way they felt. Although not the majority, five completers from each group reported a positive change in their interpersonal relationships. Integrative and flexible approaches to psychotherapy, which combine common factors and elicit health including actions, are important in order to improve social cognition deficits among people with SMI.",NULL,NULL
13,"A card-based internet of things game ideation tool for museum context","The increasing deployments of Internet of Things (IoT) technologies create new opportunities for game design for museums. Previous studies have highlighted the difficulty that designers face in generating ideas for IoT serious games. This paper proposes a card game solution that synthesises design knowledge for IoT serious games in museum with the aim of guiding non-experts in rapid idea generation for IoT serious games. It also helps designers design for in-depth visitor engagement to cater for the changing role of museums. We achieve this through different types of domain-specific cards (Asset, Engagement, Serious Game, IoT and Possible Issue). The card game, consisting of 90 cards for idea generation, was developed and evaluated through two iterative series of user workshops involving Human Computer Interaction (HCI) students. Results show that the card game was useful as a way to aid concept ideation for HCI designers and practitioners, with museums and their content used as a useful test case. We further discuss the strengths and limitations of the ideation tool.",NULL,NULL
14,"An Engaging Serious Game Aiming at Awareness of Therapy Skills Associated with Social Anxiety Disorder","Social anxiety disorder is characterized by sentiments of fear and anxiety in social interactions. This studys aim was to design and evaluate a serious game to raise awareness of cognitive behavioral therapy (CBT) skills associated with social anxiety disorder. The target group was university students, as 1025% within this group have impaired functioning due to social anxiety. This study was based on three different iterations (study 1, study 2, and study 3), all included within a formative evaluation framework. In total, this study involved 71 university students, all within the 1831 age range. The game was designed in Unity with the implementation of different CBT skills within different scenarios. The scenarios were designed based on psychophysiological pilot testing in study 1, and external psychiatrist and psychologist expertise. The evaluation in study 2 and 3 was based on self-reports (questionnaires and interviews), and a recall knowledge check. The findings revealed that the designed serious game was successful in terms of focused attention, perceived usability, aesthetic appeal, being worthwhile, and narrative understanding. However, the designed elements could be improved by allowing more in-game personalization with the inclusion of the users own life experiences.",NULL,NULL
15,"Predictive Factors for Recurrence of Serious Arrhythmias in Patients with Acute Digoxin Poisoning","Although digoxin poisoning has declined in the past decades, it still has deleterious outcomes. The hallmark of serious life-threatening arrhythmias remains challenging due to its non-specific initial presentation. Therefore, this study aimed to evaluate the initial predictive factors for recurrent serious arrhythmias and the need for temporary pacing in acute digoxin-poisoned patients. This retrospective cohort study included all patients with acute digoxin poisoning admitted to Tanta University Poison Control Center from 2017 to 2020. Demographic and toxicological data, poisoning severity score (PSS), laboratory investigations, and serial ECG monitoring data were documented. Patients were divided according to their age into a childhood group and adolescence & adulthood group. Each age group was divided into two subgroups according to the presence of recurrent serious arrhythmias. Patient outcomes, including intensive care unit admission, temporary pacing, and in-hospital mortality were recorded. A percentage of 37.34% ( n =31) of the included patients had recurrent serious arrhythmias in both groups. Recurrent serious arrhythmias groups had significantly low heart rate, prolonged PR interval, high PSS, Mobitz II dysrhythmias, elevated serum digoxin, serum potassium and serum creatinine, and increased adverse outcomes compared to other groups. Logistic regression analysis showed that only serum digoxin and potassium levels were significant independent predictors of recurrent serious arrhythmias and temporary pacing. Serum digoxin level had an excellent discriminatory power with the best sensitivity and specificity, followed by serum potassium level in both groups. Thus, monitoring serum digoxin and potassium levels is essential in all patients with acute digoxin poisoning, especially with limited Fab availability.",NULL,NULL
16,"Personalized rehabilitation for children with cerebral palsy","Over the years, there has been an ongoing increase in the use of virtual gaming (VG) implemented via a range of technologies for the rehabilitation of children with disabilities including cerebral palsy (CP). While many VG-based devices have been developed over the past decade, many have been tested primarily for post-stroke therapy and included limited adaptation capabilities, not to mention personalization. When adaptation was included, it was not implemented dynamically in real-time but rather used to adjust the game parameters before a session. The goal and novel contribution of this study was to examine the potential of dynamic, within-session adaptation of virtual game parameters to support the rehabilitation of children with CP. The iVG4Rehab (Intelligent therapeutic Virtual Gaming System for Rehabilitation) system was designed and developed in collaboration with a team of clinicians. We aimed to demonstrate and evaluate the potential of a personalized virtual gaming system to support and enhance treatment of children with CP by real-time adaptations of game parameters to the childrens abilities and therapeutic needs. Our results validated the hypothesis that personalized system as a tool that has great potential for upper extremity (UE) therapy for children with CP and contributes to a more comprehensive understanding of their underlying performance, usability and kinematics in this unique context.",NULL,NULL
17,"Studying the effects of teaching programming to lower secondary school students with a serious game: a case study with Python and CodeCombat","Serious games, or else educational games, for programming are considered to have a positive impact on learning programming. Specifically, serious games are considered to motivate students and engage them in playing and learning programming. However, more research is required in order to study their effects in learning programming, as well as their added value in comparison with typical teaching approaches. In this study the effects of teaching programming to lower secondary school students with the serious game CodeCombat and the typical teaching approach are compared. Specifically, fifty-nine students formed an experimental group that was taught programming with CodeCombat and a control group that was taught programming through lecturing and problem solving in Python with a typical programming environment. The study aimed to investigate whether a game like CodeCombat that is based on a text-based real programming language: improves students performance in basic programming concepts; brings better learning outcomes in comparison with typical teaching methods; engages students interest. Data was collected through a pre and post test, as well as a survey prior the intervention and another one based on the Technology Acceptance Model at the end. It was concluded that the experimental group performed better than the control group, but this difference was not found to be statistically significant. CodeCombat was evaluated positively in terms of its perceived ease of use and usefulness, as well as the attitude towards its use. The results were neutral in terms of students behavioral intention to use CodeCombat, but were positive in using serious games for programming in general.",NULL,NULL
18,"A framework and immersive serious game for mild cognitive impairment","Cognitive decline is common in the elderly. As a result, a range of cognitive rehabilitation games have been proposed to supplement or replace traditional rehabilitative training by offering benefits such as improved engagement. In this paper, we focus on mild cognitive impairment (MCI), an initial stage of cognitive decline that does not affect functioning in daily life, but which may progress towards more serious cognitive deteriorations, notably dementia. Unfortunately, while a variety of serious game frameworks and rehabilitative serious games have been proposed, there is a distinct lack of those which support the distinctive characteristics of MCI patients. Consequently, to optimise the advantages of serious games for MCI, we propose the MCI-GaTE (MCI-Game Therapy Experience) framework that may be used to develop serious games as effective cognitive and physical rehabilitation tools. The framework is derived from a combination of a survey of related research literature in the area, analysis of resident profiles from a nursing home, and in-depth interviews with occupational therapists (OTs) who work with MCI patients on a daily basis. The conceptual framework comprises four sectors that may be used to guide game design and development: an MCI player profile that represents the capabilities of a player with MCI, core gaming elements that support gameful and playful activities, therapeutic elements that support cognitive and physical rehabilitation through tasks and scenarios according to the players abilities, and motivational elements to enhance the players attitude towards the serious tasks. Together, they provide support for rehabilitation needs and may also serve as a set of comprehensive and established criteria by which an MCI serious game may be evaluated. To demonstrate the use of MCI-GaTE , we also present A-go! , an immersive gesture-based serious game that exploits the framework to enable MCI-diagnosed players to undertake therapeutic tasks supported by an assigned OT. Evaluation with OTs revealed that the immersive game potentially offers more effective support to MCI patients than traditional methods, contributing new possibilities for enhancing MCI rehabilitative training, while a comparative assessment of MCI-GaTE demonstrated that it provides a comprehensive approach not currently offered by state-of-the-art rehabilitative frameworks.",NULL,NULL
19,"Short- and long-term learning of job interview with a serious game in virtual reality: influence of eyestrain, stereoscopy, and apparatus","Purpose Do apparatuses and eyestrain have effects on learning performances and quality of experience? Materials and Methods: 42 participants played a serious game simulating a job interview with a Samsung Gear VR Head-Mounted Display (HMD) or a computer screen. Participants were randomly assigned to 3 groups: PC, HMD biocular, and HMD stereoscopy (S3D). Participants played the game thrice. Eyestrain was assessed pre- and post-exposure with six optometric measures. Learning performances were obtained in-game. Quality of experience was measured with questionnaires. Results: eyestrain was higher with HMDs than PC based on Punctum Proximum of accommodation but similar between biocular and S3D. Knowledge gain and retention were similar with HMDs and PC based on scores and response time. All groups improved response time but without statistically significant differences between HMDs and PC. Visual discomfort difference was statistically significant between PC and HMDs (biocular and S3D). Flow difference was statistically significant between PC and HMDs (biocular and S3D), with the PC group reporting higher Flow than HMD-S3D. Conclusion: short-term learning is similar between PC and HMDs. Groups initially using HMDs continued improving during long-term learning but without statistically significant difference compared to PC. Eyestrain and visual discomfort were higher with HMDs than PC. Flow was higher with the PC group. Our results show that eyestrain does not seem to decrease learning.",NULL,NULL
20,"APRehab: a methodology for serious games design oriented to psychomotor rehabilitation in children with hearing impairments","In this work, we present APRehab, a methodology for the design of serious games for psychomotor rehabilitation of children with hearing impairments. This methodology aims to guide developers in the construction of interactive experiences for therapeutic processes taking into account the identification and design of the formal elements, the therapeutic activities to carry out and the interaction. The purpose of this work is to describe the design of the methodology and the validation applied to analyze the level of compliance and satisfaction it offers.",NULL,NULL
21,"Toward emotional interactive videogames for children with autism spectrum disorder","Technology and videogames have been proven as motivating tools for working attention and complex communication skills, especially in children with autism spectrum disorder (ASD). In this work, we present two experiences that used interactive games for promoting communication and attention. The first game considers emotions in order to measure childrens attention, concentration and satisfaction, while the second uses tangible tabletops for fostering cognitive planning. The analysis of the results obtained allows to propose a new study integrating both, in which the tangible interactive game is complemented with the emotional trainer in a way that allows identifying and classifying childrens emotion with ASD when they collaborate to solve cognitively significant and contextualized challenges. The first application proposed is an emotional trainer application in which the child can work out the seven basic emotions (happiness, sadness, fear, disgust, anger, surprise and neutral). Further, a serious videogame is proposed: a 3D maze where the emotions can be captured. The second case study was carried out in a Special Education Center, where a set of activities for working cognitive planning was proposed. In this case, a tangible interactive tabletop was used to analyze, in students with ASD, how the communication processes with these interfaces affect to the attention, memory, successive and simultaneous processing that compose cognitive planning from the PASS model. The results of the first study, suggest that the autistic children did not act with previous planning, but they used their perception to adjust their actions a posteriori (that explains the higher number of collisions). On the second case study, the successive processing was not explored. The inclusion of the mazes of case study 1 to a semantic rich scenario could allow us to measure the prior planning and the emotions involved in the maze game. The new physiological sensors will also help to validate the emotions felt by the children. The first study has as objective the capability to imitate emotions and resolve a maze without semantic context. The second study organized all the actions from a semantic context close to users. The attention results presented by the second study are coherent with the first study and complement it showing that attention can be receptive or selective. In the first study case, the receptive attention was the focus of analysis. In the second case, both contributed to explain and understand how it can be developed from a videogame.",NULL,NULL
22,"Designing for cultural learning and reflection using IoT serious game approach","Previous studies have highlighted the difficulty that designers face in designing interactive systems that will help visitors learn and reflect upon cultural issues in support of museums new roles of shaping cultural identify and community building. In this paper, we report a study to explore the potential of Internet of things (IoT) serious games to support cultural learning and reflection by incorporating five IoT-mediated interactive exhibitsan online trading game, an interactive grinder and Goldsmith simulators, a lantern design and a virtual house decoration station. We present design goals to meet the aim and evaluate our approach through a museum study. The results show significant learning gains from pre-test to post-test, and our interview analyses indicate some evidence of participants engaging in all levels of reflection. From our findings, we discuss the design goals and recommend design guidelines for future IoT serious games to support reflective learning in museums.",NULL,NULL
23,"Evoking emotions in virtual reality: schema activation via a freeze-frame stimulus","Virtual reality can be used for educational purposes, particularly in demanding professions such as firefighting. Such virtual training may be useful for preparing trainees for distress, fear, or frustration experienced during real rescue operations. Evoking cognitive schemas, especially of other people, during training appears to be crucial as well, as the greatest stressors in the firefighting profession are social. Based on interviews with firefighters, two types of people (children and young women) were chosen as stimuli in the research design. In an experimental study with three iterations, the stimuli designed to evoke the schema of a significant other were implemented in a virtual reality simulator to evoke a cognitive schema in firefighters through emotions (positive and negative) and several dimensions of stress. The first iteration of the study did not yield expected results, as the stimulus (a childs toy) was not as suggestive and vivid as it was expected. In the second attempt, the stimulus was improved and evoked feelings of challenge, harm, and loss in the participants. In the third iteration, the stimulus was changed once more (to a white dress) and this time it evoked negative emotions of fear, anger, guilt, and sadness. However, after correcting for multiple comparisons, only results regarding emotional response remained statistically significant. The results are discussed in light of cognitive schemas activation, and perspectives for further research in this scope are proposed. Due to research outcomes, the issues of manipulation checks in experimental psychology and limitations of the VR technology are taken into consideration.",NULL,NULL
24,"Explicit and Implicit Emotional Expression in Gambling Disorder Measured by a Serious Game: A Pilot Study","Behavioral addictions have been related with biased emotional reactions to risky choices. However, few studies have analyzed the role of both explicit and implicit emotional expression in gambling disorder (GD). This pilot study aims to examine emotion regulation in treatment-seeking patients with GD. The sample included n =35 participants classified into three groups: patients with current GD, patients with GD in remission, and a control group without GD. Implicit emotional expressions were evaluated through a serious videogame (Playmancer) and explicit emotions were measured through self-reports. Patients in the current GD group had, compared to the remission and control groups, lower levels of implicit emotion expression and higher levels of explicit emotion expression. The patients in GD remission group endorsed better emotion regulation capacity in comparison to patients with current GD. We conclude that differences in emotion expression profiles (such as anger and anxiety) should be considered both in the development of screening and diagnostic measures and in the planning of prevention and treatment programs.",NULL,NULL
25,"A mobile VR-based respiratory biofeedback game to foster diaphragmatic breathing","Virtual reality (VR) has become popular in mental health research. Several studies have explored the use of VR in the context of biofeedback protocols. In the present paper, we report on the development and evaluation of a VR-based respiratory biofeedback game to foster diaphragmatic breathing. The game integrates respiratory biofeedback, restorative VR and gamification. The game is designed to run on a mobile, all-in-one VR headset. Notably, an integrated VR hand controller is utilized as a sensor to detect respiration-induced movements of the diaphragm. In a longitudinal within-subjects study, we explored the feasibility of the game and tested the effectiveness of six training sessions. Participants reported a pleasant user experience. Moreover, the results show that the brief VR-based breathing training increased perceived breath awareness, improved diaphragmatic breathing, increased relaxation, decreased perceived stress, reduced symptoms of burnout and boosted relaxation-related self-efficacy. Future studies need to address the generalizability and long-term stability of the results, compare the approach with existing treatments and fine-tune the training components.",NULL,NULL
26,"Vil Du?! incorporation of a serious game in therapy for sexually abused children and adolescents","Background Talking about experiences of sexual abuse in therapy is difficult for children and adolescents, amongst others due to a lack of vocabulary to describe the situation, avoidance, or feelings of shame, fear, and self-blame. The serious game Vil Du?! was developed to help children open up about sexual experiences. Vil Du?! is a non-verbal communication game, which resembles a dress-up game, in which children can show the therapist what happened to them. The current study examined how and for which therapy components Vil Du?! was used by therapists. Methods We used a mixed-methods triangulation design. Therapists filled out online surveys about the use of Vil Du?! with 23 clients ( M age = 11.38 years, SD =3.96; 61% female). We also conducted semi-structured interviews with 10 therapists. The data were analyzed in SPSS (quantitative) and Nvivo (qualitative) following the stepwise guidelines of Zhang and Wildemuth. Results Merged qualitative and quantitative data revealed that therapists acknowledged the usefulness of Vil Du?! mostly for the therapy components trauma narration and processing, and psycho-education about sexuality. In addition, Vil Du?! might be most useful for clients who have difficulty with disclosing sexual abuse experiences, due to limited verbal abilities or feelings of guilt, shame, avoidance, and tension. Conclusions Recommendations from this study were incorporated in a user manual as a first step toward more systematic and broad implementation of Vil Du?! in the treatment of young sexual abuse victims. A next step is to test whether implementing Vil Du?! in therapy is effective in reducing the negative mental health consequences of sexual abuse for children and adolescents.",NULL,NULL
27,"Good gamers, good managers? A proof-of-concept study with Sid Meiers Civilization","Human resource professionals increasingly enhance their assessment tools with game elementsa process typically referred to as gamificationto make them more interesting and engaging for candidates, and they design and use serious games that can support skill assessment and development. However, commercial, off-the-shelf video games are not or are only rarely used to screen or test candidates, even though there is increasing evidence that they are indicative of various skills that are professionally valuable. Using the strategy game Civilization , this proof-of-concept study explores if strategy video games are indicative of managerial skills and, if so, of what managerial skills. Under controlled laboratory conditions, we asked forty business students to play the Civilization game and to participate in a series of assessment exercises. We find that students who had high scores in the game had better skills related to problem-solving and organizing and planning than the students who had low scores. In addition, a preliminary analysis of in-game data, including players interactions and chat messages, suggests that strategy games such as Civilization may be used for more precise and holistic stealth assessments, including personality assessments.",NULL,NULL
